Date;Country;Confirmed cases;New cases;Deaths;Active cases;Hospitalised;Recovered;ICU;Tests;Cases - Med workers;Cases - Children
27.02.2020;Belarus;1;1;0;1;1;0;0;-;-;-
28.02.2020;Belarus;1;0;0;1;1;0;0;-;-;-
29.02.2020;Belarus;1;0;0;1;1;0;0;-;-;-
01.03.2020;Belarus;3;2;0;3;3;0;0;-;-;-
02.03.2020;Belarus;3;0;0;3;3;0;0;-;-;-
03.03.2020;Belarus;4;1;0;4;4;0;0;-;-;-
04.03.2020;Belarus;6;2;0;6;6;0;0;-;-;-
05.03.2020;Belarus;6;0;0;6;6;0;0;-;-;-
06.03.2020;Belarus;6;0;0;6;6;0;0;-;-;-
07.03.2020;Belarus;6;0;0;5;5;1;0;-;-;-
08.03.2020;Belarus;9;3;0;8;8;1;0;-;-;-
09.03.2020;Belarus;9;0;0;8;8;1;0;-;-;-
10.03.2020;Belarus;9;0;0;6;6;3;0;-;-;-
11.03.2020;Belarus;12;3;0;9;9;3;0;-;-;-
12.03.2020;Belarus;21;9;0;18;18;3;0;10 500;-;-
13.03.2020;Belarus;27;6;0;24;24;3;0;-;-;-
14.03.2020;Belarus;27;0;0;24;24;3;0;-;-;-
15.03.2020;Belarus;27;0;0;24;24;3;0;-;-;-
16.03.2020;Belarus;36;9;0;33;33;3;0;16 000;-;-
17.03.2020;Belarus;36;0;0;33;33;3;0;-;-;-
18.03.2020;Belarus;51;15;0;46;46;5;0;-;-;-
19.03.2020;Belarus;51;0;0;46;46;5;0;-;-;-
20.03.2020;Belarus;69;18;0;54;54;15;0;19 000;-;-
21.03.2020;Belarus;76;7;0;61;61;15;0;20 000;-;-
22.03.2020;Belarus;76;0;0;61;61;15;0;-;-;-
23.03.2020;Belarus;81;5;0;59;59;22;0;21 000;-;-
24.03.2020;Belarus;81;0;0;59;59;22;0;-;-;-
25.03.2020;Belarus;86;5;0;57;57;29;0;23 000;-;-
26.03.2020;Belarus;86;0;0;57;57;29;0;-;-;-
27.03.2020;Belarus;94;8;0;62;62;32;0;24 000;-;-
28.03.2020;Belarus;94;0;0;62;62;32;0;-;-;-
29.03.2020;Belarus;94;0;0;62;62;32;0;-;-;-
30.03.2020;Belarus;152;58;0;105;105;47;1;30 000;-;-
31.03.2020;Belarus;152;0;1;-;-;-;-;31 000;-;-
01.04.2020;Belarus;163;11;2;-;-;-;-;32 000;-;-
02.04.2020;Belarus;300;137;4;254;254;42;11;-;-;-
03.04.2020;Belarus;351;51;4;305;305;42;-;-;-;-
04.04.2020;Belarus;440;89;5;394;394;41;-;-;-;-
05.04.2020;Belarus;562;122;8;502;502;52;-;-;-;-
06.04.2020;Belarus;700;138;13;634;634;53;-;40 000;-;-
07.04.2020;Belarus;861;161;13;794;794;54;31;-;-;-
08.04.2020;Belarus;1 066;205;13;976;976;77;33;46 000;-;-
09.04.2020;Belarus;1 486;420;16;1 331;1 331;139;55;49 000;-;-
10.04.2020;Belarus;1 981;495;19;1 793;1 793;169;72;52 992;-;-
11.04.2020;Belarus;2 226;245;23;2 031;2 031;172;52;-;301;-
12.04.2020;Belarus;2 578;352;26;2 349;-;203;50;64 000;-;-
13.04.2020;Belarus;2 919;341;29;2 687;-;203;55;68 000;-;-
14.04.2020;Belarus;3 281;362;33;3 045;2 444;203;57;71 875;-;80
15.04.2020;Belarus;3 728;447;36;3 489;-;203;68;76 198;-;-
16.04.2020;Belarus;4 204;476;40;3 961;-;203;65;81 246;-;116
17.04.2020;Belarus;4 779;575;42;4 395;-;342;-;86 813;-;-
18.04.2020;Belarus;5 297;518;45;4 794;3 282;458;-;92 709;-;-
19.04.2020;Belarus;5 807;510;47;5 266;3 538;494;86;98 231;-;-
20.04.2020;Belarus;6 264;457;51;5 699;-;514;92;102 556;-;-
21.04.2020;Belarus;6 723;459;55;6 091;-;577;-;108 545;-;-
22.04.2020;Belarus;7 281;558;58;6 454;-;769;-;114 955;-;-
23.04.2020;Belarus;8 022;741;60;7 024;-;938;-;122 543;-;-
24.04.2020;Belarus;8 773;751;63;7 590;4 733;1 120;114;130 824;-;-
25.04.2020;Belarus;9 590;817;67;7 950;-;1 573;-;139 295;-;-
26.04.2020;Belarus;10 463;873;72;8 696;-;1 695;-;147 525;-;-
27.04.2020;Belarus;11 289;826;75;9 474;-;1 740;-;153 845;-;-
28.04.2020;Belarus;12 208;919;79;10 136;-;1 993;-;161 028;-;-
29.04.2020;Belarus;13 181;973;84;11 025;-;2 072;-;168 986;-;-
30.04.2020;Belarus;14 027;846;89;11 552;-;2 386;-;176 625;-;-
01.05.2020;Belarus;14 917;890;93;11 906;-;2 918;-;186 262;-;-
02.05.2020;Belarus;15 828;911;97;12 614;-;3 117;200;195 430;-;-
03.05.2020;Belarus;16 705;877;99;13 410;-;3 196;-;204 239;-;-
04.05.2020;Belarus;17 489;784;103;14 127;-;3 259;-;211 369;-;-
05.05.2020;Belarus;18 350;861;107;14 472;-;3 771;-;211 369;-;-
06.05.2020;Belarus;19 255;905;112;14 755;-;4 388;-;220 045;-;-
07.05.2020;Belarus;20 168;913;116;14 985;-;5 067;-;229 466;-;-
08.05.2020;Belarus;21 101;933;121;15 496;-;5 484;-;240 146;-;-
