Date;Region ;Country;Confirmed cases
04.03.2020;Brest region;Belarus;
04.03.2020;Grodno region;Belarus;
04.03.2020;Gomel region;Belarus;
04.03.2020;Mogilev region;Belarus;
04.03.2020;Minsk;Belarus;4
04.03.2020;Minsk region;Belarus;
04.03.2020;Vitebsk region;Belarus;2
23.03.2020;Brest region;Belarus;
23.03.2020;Grodno region;Belarus;1
23.03.2020;Gomel region;Belarus;2
23.03.2020;Mogilev region;Belarus;
23.03.2020;Minsk;Belarus;40
23.03.2020;Minsk region;Belarus;
23.03.2020;Vitebsk region;Belarus;30
14.04.2020;Brest region;Belarus;73
14.04.2020;Grodno region;Belarus;53
14.04.2020;Gomel region;Belarus;106
14.04.2020;Mogilev region;Belarus;151
14.04.2020;Minsk;Belarus;1691
14.04.2020;Minsk region;Belarus;359
14.04.2020;Vitebsk region;Belarus;848
17.04.2020;Brest region;Belarus;
17.04.2020;Grodno region;Belarus;
17.04.2020;Gomel region;Belarus;
17.04.2020;Mogilev region;Belarus;
17.04.2020;Minsk;Belarus;2308
17.04.2020;Minsk region;Belarus;588
17.04.2020;Vitebsk region;Belarus;1282
20.04.2020;Brest region;Belarus;185
20.04.2020;Grodno region;Belarus;176
20.04.2020;Gomel region;Belarus;322
20.04.2020;Mogilev region;Belarus;265
20.04.2020;Minsk;Belarus;3023
20.04.2020;Minsk region;Belarus;789
20.04.2020;Vitebsk region;Belarus;1504
24.04.2020;Brest region;Belarus;339
24.04.2020;Grodno region;Belarus;460
24.04.2020;Gomel region;Belarus;347
24.04.2020;Mogilev region;Belarus;396
24.04.2020;Minsk;Belarus;4090
24.04.2020;Minsk region;Belarus;1206
24.04.2020;Vitebsk region;Belarus;1935
